Film,Year,IMDB LINK,Location Display Text,GEO_ID
*batteries not included,1987,http://imdb.com/title/tt0092494/,E. 5th St. East Village Manhattan,1
12 Angry Men,1957,http://imdb.com/title/tt0050083/,New York County Courthouse 40 Foley Square Lower Manhattan,2
13 Going on 30,2004,http://www.imdb.com/title/tt0337563/,W. 47th St. and Seventh Ave. Times Square Manhattan,3
15 Minutes,2001,http://www.imdb.com/title/tt0179626/,E. 60-66th St. and Madison Ave. Upper East Side Manhattan,4
25th Hour,2002,http://www.imdb.com/title/tt0307901/,World Trade Center Lower Manhattan,5
25th Hour,2002,http://www.imdb.com/title/tt0307901/,Carl Schurz Park Upper East Side Manhattan,6
A Perfect Murder,1998,http://www.imdb.com/title/tt0120787/,Long Island City,7
A Thousand Clowns,1965,http://www.imdb.com/title/tt0059798/,Statue of Liberty Liberty Island New York Harbor,8
Across the Sea of Time,1997,http://imdb.com/title/tt0112286/,New York Harbor,9
After Hours,1985,http://www.imdb.com/title/tt0088680/,Mercer and Grand SoHo Manhattan,10
Alice,1990,http://www.imdb.com/title/tt0099012/,E. 95th St. off Madison Ave. Upper East Side Manhattan,11
American Psycho,2000,http://www.imdb.com/title/tt0144084/,Chinatown Manhattan,12
An Unmarried Woman,1978,http://www.imdb.com/title/tt0078444/,Mercer St. between Spring and Broome SoHo Manhattan,13
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,Coney Island Brooklyn,14
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,Pier 11 Manhattan,15
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,Foot of 59th St. Bridge Upper East Side Manhattan,16
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,E. 68th St. between Park Ave. and Madison Ave. Upper East Side Manhattan,17
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,W. 95th St. Upper West Side Manhattan,18
Arthur,1981,http://www.imdb.com/title/tt0082031/,Bergdorf's at 754 Fifth Ave. Midtown Manhattan,19
As Good As It Gets,1997,http://imdb.com/title/tt0119822/,Sixth Ave. between 11th St. and 12th St. West Village Manhattan,20
Barefoot in the Park,1967,http://www.imdb.com/title/tt0061385/,Washington Square Park West Village Manhattan,21
Barefoot in the Park,1967,http://www.imdb.com/title/tt0061385/,Greenwich St. and Christopher St. Greenwich Village Manhattan,22
Basquiat,1996,http://www.imdb.com/title/tt0115632/,Lower East Side Manhattan,23
Bed of Roses,1996,http://www.imdb.com/title/tt0115644/,Chelsea,24
BIG,1988,http://www.imdb.com/title/tt0094737/,F.A.O. Schwarz at 767 Fifth Ave. Midtown Manhattan,25
Blue in the Face,1995,http://www.imdb.com/title/tt0112541/,Prospect Park West and 16th St. Windsor Terrace Brooklyn,26
Breakfast at Tiffany's,1961,http://www.imdb.com/title/tt0054698/,Tiffany & Co. at 727 Fifth Ave. Midtown Manhattan,27
Breakfast at Tiffany's,1961,http://www.imdb.com/title/tt0054698/,E. 71st St. Upper East Side Manhattan,28
Breakfast at Tiffany's,1961,http://www.imdb.com/title/tt0054698/,Central Park Mall Manhattan,29
Broadway Danny Rose,1984,http://www.imdb.com/title/tt0087003/,Carnegie Deli at 854 Seventh Ave. Midtown Manhattan,30
Cagney & Lacey,1982-1988,http://imdb.com/title/tt0083395/,Howard Beach Queens,31
Center Stage,2000,http://www.imdb.com/title/tt0210616/,American Ballet Theater 890 Broadway Manhattan,32
Chasing Amy,1997,http://www.imdb.com/title/tt0118842/,269 E. Houston St. Lower East Side Manhattan,33
Chelsea Walls,2001,http://www.imdb.com/title/tt0226935/,Chelsea Hotel on W. 23rd St. Chelsea Manhattan,34
Clockers,1995,http://www.imdb.com/title/tt0112688/,Gowanus Houses Brooklyn,35
Coogan's Bluff,1968,http://www.imdb.com/title/tt0062824/,Fort Tryon Park Manhattan,36
Cotton Comes to Harlem,1970,http://imdb.com/title/tt0065579/,Harlem,37
Crocodile Dundee,1986,http://imdb.com/title/tt0090555/,Fifth Ave. and 53rd St. Midtown Manhattan,38
Crocodile Dundee II,1988,http://www.imdb.com/title/tt0092493/,"Chambers St. near Centre St. Lower Manhattan
",39
Crooklyn,1994,http://www.imdb.com/title/tt0109504/,Stuyvesant Ave. and Macon St. Brooklyn,40
Crossing Delancey,1988,http://www.imdb.com/title/tt0094921/,35 Essex St. Lower East Side Manhattan,41
Cruising,1980,http://www.imdb.com/title/tt0080569/,West Village Manhattan,42
Cruising,1980,http://www.imdb.com/title/tt0080569/,Central Park Manhattan,43
Death to Smoochy,2002,http://www.imdb.com/title/tt0266452/,Seventh Ave. and 48th St. Times Square Manhattan,44
Death Wish,1974,http://www.imdb.com/title/tt0071402/,Subway Station near Court St. Brooklyn,45
Desperately Seeking Susan,1985,http://www.imdb.com/title/tt0089017/,St. Marks Place East Village Manhattan,46
Desperately Seeking Susan,1985,http://www.imdb.com/title/tt0089017/,George Washington Bus Terminal Manhattan,47
Die Hard: With a Vengeance,1995,http://www.imdb.com/title/tt0112864/,Central Park South Manhattan,48
Do the Right Thing,1989,http://www.imdb.com/title/tt0097216/,Stuyvesant Ave. Bedford-Stuyvesant Brooklyn,49
Dog Day Afternoon,1972,http://www.imdb.com/title/tt0072890/,Prospect Park South and 16th St. Brooklyn,50
Downtown 81 / New York Beat Movie,1981,http://www.imdb.com/title/tt0208993/,The Empire State Building Midtown Manhattan,51
Downtown 81 / New York Beat Movie,1981,http://www.imdb.com/title/tt0208993/,Guggenheim Museum Upper East Side Manhattan,52
Eternal Sunshine of the Spotless Mind,2004,http://www.imdb.com/title/tt0338013/,Orchard St. and Rivington St. Lower East Side Manhattan,53
Fame,1980,http://www.imdb.com/title/tt0080716/,High School of the Performing Arts 120 W. 46th St. Manhattan,54
Fame,1980,http://www.imdb.com/title/tt0080716/,W. 59th St. and Tenth Ave. Upper West Side Manhattan,55
